vehicle,time,lat[D.DDD],lon[D.DDD]
veh_2,13:31:42.33,35.7187268,-120.7664222
veh_2,13:31:43.05,35.7188071,-120.7663682
veh_2,13:31:43.34,35.7188336,-120.7663504
veh_2,13:31:43.64,35.7188592,-120.7663316
veh_2,13:31:43.99,35.7188855,-120.7663117
veh_2,13:31:44.27,35.718937,-120.766273
veh_2,13:31:44.55,35.7189624,-120.7662529
veh_2,13:31:44.86,35.7189884,-120.7662331
veh_2,13:31:45.23,35.7190396,-120.7661923
veh_2,13:31:45.89,35.7191151,-120.7661288
veh_2,13:31:46.51,35.7191906,-120.7660639
veh_2,13:31:46.79,35.7192398,-120.7660199
veh_2,13:31:47.47,35.7193256,-120.7659135
veh_2,13:31:47.78,35.7193527,-120.765845
veh_2,13:31:48.41,35.7193848,-120.7656603
veh_2,13:31:48.80,35.7193851,-120.7656217
veh_2,13:31:49.21,35.7193871,-120.7655437
veh_2,13:31:49.65,35.7193818,-120.7654652
veh_2,13:31:50.03,35.7193699,-120.7653887
veh_2,13:31:50.38,35.7193549,-120.7653121
veh_2,13:31:51.06,35.7193296,-120.7651958
veh_2,13:31:51.44,35.7193096,-120.7651186
veh_2,13:31:51.70,35.7192866,-120.7650405
veh_2,13:31:52.13,35.7192629,-120.7649638
veh_2,13:31:52.76,35.7192256,-120.7648494
veh_2,13:31:53.15,35.7191991,-120.7647727
veh_2,13:31:53.59,35.7191721,-120.7646965
veh_2,13:31:53.97,35.7191451,-120.7646211
veh_2,13:31:54.32,35.7191316,-120.764584
veh_2,13:31:54.79,35.7191048,-120.7645096
veh_2,13:31:55.04,35.7190771,-120.7644362
veh_2,13:31:55.41,35.7190509,-120.7643622
veh_2,13:31:55.74,35.719024,-120.7642879
veh_2,13:31:56.41,35.7189835,-120.7641765
veh_2,13:31:56.69,35.7189558,-120.7641024
veh_2,13:31:57.08,35.7189298,-120.7640274
veh_2,13:31:57.83,35.7188901,-120.7639161
veh_2,13:31:58.37,35.7188647,-120.7638415
veh_2,13:31:58.68,35.718839,-120.7637673
veh_2,13:31:58.97,35.7188142,-120.7636918
veh_2,13:31:59.72,35.7187778,-120.7635767
veh_2,13:31:59.99,35.7187654,-120.7635382
veh_2,13:32:00.24,35.7187405,-120.7634615
veh_2,13:32:00.69,35.7187156,-120.7633846
veh_2,13:32:00.99,35.7187033,-120.7633462
veh_2,13:32:01.41,35.7186744,-120.7632696
veh_2,13:32:01.78,35.7186567,-120.7632324
veh_2,13:32:02.07,35.7186098,-120.7631638
veh_2,13:32:02.62,35.7185136,-120.7631025
veh_2,13:32:02.99,35.718447,-120.763074
veh_2,13:32:03.24,35.7184126,-120.7630663
veh_2,13:32:03.55,35.7183431,-120.7630539
veh_2,13:32:03.84,35.7182733,-120.7630566
veh_2,13:32:04.17,35.7182391,-120.7630599
veh_2,13:32:04.48,35.71817,-120.7630741
veh_2,13:32:04.87,35.7181013,-120.7630972
veh_2,13:32:05.41,35.718001,-120.7631463
veh_2,13:32:05.81,35.7179683,-120.7631647
veh_2,13:32:06.10,35.7179025,-120.7632058
veh_2,13:32:06.35,35.7178333,-120.763252
veh_2,13:32:07.01,35.7177291,-120.7633288
veh_2,13:32:07.87,35.7176299,-120.7634092
veh_2,13:32:08.65,35.7175298,-120.7634908
veh_2,13:32:09.11,35.7174639,-120.7635443
veh_2,13:32:09.90,35.7173688,-120.7636295
veh_2,13:32:10.20,35.7173125,-120.7636981
veh_2,13:32:10.49,35.7172748,-120.7637835
veh_2,13:32:10.93,35.7172551,-120.7638725
