vehicle,time,aspd[m/s],gspd[m/s],hdg,alt[m-msl]
veh_1,12:19:07.42,1.08449912071,0.070000000298,214.0,274.230010986
veh_1,12:19:07.72,1.32231521606,0.0599999986589,214.0,274.109985352
veh_1,12:19:08.30,1.66283428669,0.119999997318,214.0,274.140014648
veh_1,12:19:08.95,1.64080572128,0.119999997318,214.0,274.269989014
veh_1,12:19:09.20,0.640191555023,0.0999999940395,214.0,274.359985352
veh_1,12:19:09.54,1.68195271492,0.0999999940395,214.0,274.320007324
veh_1,12:19:09.86,1.35928046703,0.140000000596,214.0,274.339996338
veh_1,12:19:10.16,1.33162796497,0.189999997616,214.0,274.359985352
veh_1,12:19:10.48,1.73730957508,0.0599999986589,214.0,274.450012207
veh_1,12:19:11.11,0.90809649229,0.0499999970198,214.0,274.600006104
veh_1,12:19:11.36,1.01554274559,0.119999997318,214.0,274.670013428
veh_1,12:19:11.71,1.57238054276,0.0999999940395,214.0,274.630004883
veh_1,12:19:12.09,0.959155380726,0.149999991059,214.0,274.619995117
veh_1,12:19:12.41,1.3160071373,0.0499999970198,214.0,274.570007324
veh_1,12:19:12.70,1.77205848694,0.00999999977648,214.0,274.630004883
veh_1,12:19:13.06,2.09862279892,0.0299999993294,214.0,274.700012207
veh_1,12:19:13.54,0.926119863987,0.0999999940395,214.0,274.670013428
veh_1,12:19:14.04,1.41118907928,0.0499999970198,214.0,274.670013428
veh_1,12:19:14.34,1.78360402584,0.149999991059,214.0,274.700012207
veh_1,12:19:14.70,1.81723237038,0.189999997616,214.0,274.679992676
veh_1,12:19:15.17,1.80996990204,0.179999992251,214.0,274.769989014
veh_1,12:19:15.45,1.32825124264,0.0999999940395,214.0,274.730010986
veh_1,12:19:15.89,1.53857171535,0.0599999986589,214.0,274.75
veh_1,12:19:16.19,1.53019344807,0.119999997318,214.0,274.679992676
veh_1,12:19:16.61,1.4857865572,0.0599999986589,214.0,274.679992676
veh_1,12:19:17.26,2.32749342918,0.109999999404,214.0,274.540008545
veh_1,12:19:17.65,0.951544046402,0.269999980927,214.0,274.540008545
veh_1,12:19:17.93,1.90456736088,0.0799999982119,214.0,274.399993896
veh_1,12:19:18.55,1.55745768547,0.0799999982119,214.0,274.339996338
veh_1,12:19:18.80,1.3838583231,0.0799999982119,214.0,274.369995117
veh_1,12:19:19.17,1.72350502014,0.140000000596,214.0,274.399993896
veh_1,12:19:19.42,1.95011794567,0.0599999986589,214.0,274.399993896
veh_1,12:19:19.83,1.81080019474,0.0299999993294,214.0,274.420013428
veh_1,12:19:20.49,0.799577474594,0.129999995232,214.0,274.309997559
veh_1,12:19:20.92,1.12411415577,0.0599999986589,214.0,274.290008545
veh_1,12:19:21.26,1.51072132587,0.0499999970198,214.0,274.059997559
veh_1,12:19:21.68,0.782601416111,0.070000000298,214.0,274.109985352
veh_1,12:19:22.34,1.52898919582,0.0599999986589,214.0,274.149993896
veh_1,12:19:22.65,1.58975744247,0.0899999961257,214.0,274.140014648
